Tusk;246403;2022-01-13;16;7;6;6,5
Vivarium;458305;2022-01-20;16;3,5;2;2,75
Girl on the Train;346685;2022-01-25;16;3,5;7,5;5,5
Countdown;599975;2021-02-04;;;;5
Pfad der Rache;445954;2022-01-31;;5;5;5
Halloween Haunt;517116;2022-02-07;18;4,5;1,5;3
Vile (geschnitten);132064;2022-02-10;18;1,5;0,5;1
Black Water: Abyss;522444;2022-02-13;16;1;1;1
Replicas;300681;2022-02-16;12;6,5;5,5;6
The Hunt;514847;2022-02-21;18;5,5;6,5;6
Meander;523936;2022-02-22;16;2,5;3,5;3
Don't look up;646380;2022-02-23;12;9;9;9
The Necro Files;131995;2022-02-26;;7;8;7,5
VHS4;753453;2022-02-27;;7;5;6
300;1271;2022-03-01;16;5,5;7,5;6,5
Caged;;2022-03-06;18;5;4;4,5
Open 24 Hours;;2022-03-07;16;6;3;4,5
Sherlock Holmes 2;;2022-03-08;12;8,5;10;9,25
Snuff 102;;2022-03-10;18;1;0,5;0,75
Gretel & H�nsel - Ein M�rchen neu erz�hlt;;2022-03-10;16;6;4;5
Saw Spiral;;2022-03-10;18;7;4;5,5
Hostel 2;;2022-03-11;18;7,5;6;6,75
The Descent 2;;2022-03-11;18;5;1,5;3,25
American Psycho;;2022-03-21;16;6,5;6;6,25
A Quiet Place 2;;2022-03-28;16;5;5;5
Hannibal;;2022-03-31;18;5;4,5;4,75
Jackass Forever;;2022-04-02;18;7,5;6,5;7
Paranormal Activity 6;;2022-04-05;16;4;4,5;4,25
Das erste Mal;;2022-04-14;16;0;0,5;0,25
Pandora;;2022-04-14;16;5,5;5,5;5,5
Choose or Die;;2022-04-20;16;5;5,5;5,25
47 Meters Down: Uncaged;;2022-04-21;16;1,5;1,5;1,5
I am The Pretty Thing That lives in the house;;2022-04-26;16;0;2,5;1,25
Lake Placid vs Anaconda;;2022-05-03;18;1,5;5,5;3,5
The Ice Road;;2022-05-12;16;5,5;5;5,25
The Furies;;2022-05-16;18;5,5;3,5;4,5
Fantasy Island;;2022-05-17;16;3;3;3
X (MM);;2022-05-20;;8;7,5;7,75
Jackass;;2022-05-21;;6,5;5;5,75
Girl Hell;;2022-05-21;;0,5;0,5;0,5
Faces of Death 2;;2021-05-22;;7,5;7,5;7,5
Raum;;2022-05-22;12;5,5;6;5,75
The Grudge (2020);;2022-06-14;;4,5;5;4,75
Der Spinnenkopf;;2022-06-23;16;3,5;6;4,75
Dark Glasses (MM);;2022-06-17;;1,5;2;1,75
Level 16;;2022-08-04;16;3,5;4,5;4
Superbad;;2022-08-06;;8;7;7,5
Look away;;2022-08-07;;6,5;6,5;6,5
Das Privileg der Auserw�hlten;;2022-08-11;;4;3,5;3,75
Pandorum;;2022-08-19;16;4,5;4,5;4,5
Green Inferno;;2022-08-22;18;6;6;6
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
;;;;;;0
