�FREUNDE|FILMLISTE|2020�;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;
;;;;;;;;;
"Film
(Deutscher Titel)";"Film
(Originaltitel)";Ersch. Jahr;Filmreihe;FSK;"L�nge
(min)";Gesehen am; Bewertung ;;
Silent Hill - Willkommen in der H�lle;Silent Hill;2006;Silent Hill;16;125;25.03.2019; 7,00 ;;
The Autopsy of Jane Doe;The Autopsy of Jane Doe;2016;The Autopsy of Jane Doe;16;86;04.07.2019; 7,00 ;;
Annabelle 2;Annabelle: Creation;2017;The Conjuring Universe;16;109;30.07.2019; 7,00 ;;
Dein Zuhause geh�rt mir;Hogar;2020;Hogar;12;103;27.03.2020; 7,00 ;;
Ghost Stories;Ghost Stories;2017;Ghost Stories;16;98;17.04.2020; 7,00 ;;
The Purge - Die S�uberung;The Purge;2013;The Purge;16;85;?; 7,00 ;;
The Inhabitant;El habitante;2017;El habitante;16;100;?; 7,00 ;;
Scary Movie 2;Scary Movie 2;2001;Scary Movie;16;82;16.04.2017; 6,75 ;;
Der Fluch - The Grudge;The Grudge;2004;Ju-on;16;91;27.09.2017; 6,75 ;;
Freddy vs. Jason;Freddy vs. Jason;2003;A Nightmare on Elm Street;18;97;17.10.2017; 6,75 ;;
1922;1922;2017;1922;16;102;23.12.2017; 6,75 ;;
Paranormal Activity 2;Paranormal Activity 2;2010;Paranormal Activity;16;101;13.03.2018; 6,75 ;;
127 Hours;127 Hours;2010;127 Hours;12;94;06.06.2018; 6,75 ;;
Orphan - Das Waisenkind;Orphan;2009;Orphan;16;123;12.10.2018; 6,75 ;;
Green Room;Green Room;2015;Green Room;18;94;05.01.2019; 6,75 ;;
Im hohen Gras;In the Tall Grass;2019;In the Tall Grass;16;101;14.11.2019; 6,75 ;;
Rec;Rec;2007;Rec;18;78;?; 6,75 ;;
A Nightmare on Elm Street;A Nightmare on Elm Street;2010;A Nightmare on Elm Street;16;92;?; 6,75 ;;
Saw 3D - Vollendung;Saw 3D;2010;Saw;18;103;?; 6,75 ;;
Chernobyl Diaries;Chernobyl Diaries;2012;Chernobyl Diaries;16;85;?; 6,75 ;;
Better Watch Out;Better Watch Out;2016;Better Watch Out;16;89;?; 6,75 ;;
Friedhof der Kuscheltiere;Pet Sematary;2019;Pet Sematary;16;101;?; 6,75 ;;
Gallows;The Gallows;2015;The Gallows;16;81;14.08.2017; 6,50 ;;
Zombieland;Zombieland;2009;Zombieland;16;88;25.02.2018; 6,50 ;;
The Cloverfield Paradox;The Cloverfield Paradox;2018;Cloverfield;16;102;29.04.2018; 6,50 ;;
The Unborn;The Unborn;2009;The Unborn;16;87;14.05.2018; 6,50 ;;
Still;Hush;2016;Hush;16;81;16.12.2018; 6,50 ;;
Ich seh Ich seh;Ich seh Ich seh;2014;Ich seh Ich seh;16;99;15.09.2019; 6,50 ;;
Ghost Movie 2;A Haunted House 2;2014;A Haunted House;16;86;28.12.2019; 6,50 ;;
Knock Knock;Knock Knock;2015;Knock Knock;16;100;02.02.2020; 6,50 ;;
Insidious: The Last Key;Insidious: The Last Key;2018;Insidious;16;103;26.03.2020; 6,50 ;;
Final Destination;Final Destination;2000;Final Destination;16;94;09.04.2020; 6,50 ;;
