ÌFREUNDE|FILMLISTE|2021Í;;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;;
;;;;;;;;;;
"Film
(Originaltitel)";Genre;Ersch. Jahr;FSK;"Länge
(min)";Gesehen am; Pkt. Erich ; Pkt. Eckert ; Pkt. Gesamt ;;
Happy Death Day 2U;;;12;;13.04.2021; 4,50 ; 6,50 ; 5,50 ;;
Split;;;16;;15.04.2021; 7,00 ; 8,00 ; 7,50 ;;
The Forest;;;16;;21.04.2021; 7,00 ; 4,00 ; 5,50 ;;
Cube²: Hypercube;;;16;;27.04.2021; 1,50 ; 4,00 ; 2,75 ;;
The Bay;;;16;;06.05.2021; 5,50 ; 8,00 ; 6,75 ;;
Pet;;;18;;11.05.2021; 8,50 ; 6,00 ; 7,25 ;;
The Woman in the Window;;;16;;15.05.2021; 4,50 ; 7,50 ; 6,00 ;;
Patient Seven;;;18;;15.05.2021; 4,00 ; 6,00 ; 5,00 ;;
Jackass Number Two;;;18;;16.05.2021; 8,50 ; 5,50 ; 7,00 ;;
The Loved Ones;;;18;;16.05.2021; 6,00 ; 7,50 ; 6,75 ;;
Pledge;;;18;;16.05.2021; 6,50 ; 5,00 ; 5,75 ;;
Devyataya;;;16;;19.05.2021; 5,50 ; 6,00 ; 5,75 ;;
Before I Wake;;;16;;22.05.2021; 5,50 ; 5,50 ; 5,50 ;;
Brightburn;;;16;;25.05.2021; 5,00 ; 7,50 ; 6,25 ;;
Evil Dead II;;;16;;31.05.2021; 2,50 ; 6,50 ; 4,50 ;;
Session 9;;;16;;07.06.2021; 7,00 ; 7,00 ; 7,00 ;;
Huset;;;16;84;16.06.2021; 1,50 ; 0,50 ; 1,00 ;;
Buried Alive;;2007;16;94;28.06.2021; 4,50 ; 2,50 ; 3,50 ;;
Pirates of the Caribbean: The Curse of the Black Pearl;;;12;;30.06.2021; 7,50 ; 10,00 ; 8,75 ;;
The Conjuring: The Devil Made Me Do It;;;16;;02.07.2021; 7,50 ; 6,50 ; 7,00 ;;
Pirates of the Caribbean: Dead Man’s Chest;;;12;;05.07.2021; 7,50 ; 10,00 ; 8,75 ;;
Fear Street Part One: 1994;;;18;;12.07.2021; 5,50 ; 6,00 ; 5,75 ;;
Nobody;;;16;;17.07.2021; 7,00 ; 8,00 ; 7,50 ;;
Fear Street Part Two: 1978;;;18;;20.07.2021; 7,00 ; 7,00 ; 7,00 ;;
Fear Street Part Three: 1666;;;18;;27.07.2021; 6,50 ; 7,50 ; 7,00 ;;
Freitag der 13.;;2009;18;97;03.08.2021; 5,50 ; 2,50 ; 4,00 ;;
Doctor Sleep;;;16;152;05.08.2021; 6,00 ; 7,00 ; 6,50 ;;
Mad Max: Fury Road;;;16;;16.08.2021; 5,50 ; 7,50 ; 6,50 ;;
Dream House;;;16;;17.08.2021; 7,50 ; 6,50 ; 7,00 ;;
???;;;;;;;;;;
La Nuée;;;16;101;23.08.2021; 4,50 ; 5,50 ; 5,00 ;;
Wind River;;;16;;26.08.2021; 7,00 ; 5,50 ; 6,25 ;;
The Old Ways;;;16;;31.08.2021; 1,50 ; 2,00 ; 1,75 ;;
Halloween H20: Twenty Years Later;;;16;;06.09.2021; 3,50 ; 3,50 ; 3,50 ;;
A Classic Horror Story;;;16;;12.09.2021; 5,00 ; 5,00 ; 5,00 ;;
A Quiet Place;;;16;90;21.09.2021; 2,50 ; 5,50 ; 4,00 ;;
I Spit on Your Grave 2;;;18;;21.09.2021; 8,00 ; 6,00 ; 7,00 ;;
Grave Encounters;;;16;;22.09.2021; 8,50 ; 7,50 ; 8,00 ;;
Hide and Seek;;2005;16;101;22.09.2021; 4,50 ; 6,50 ; 5,50 ;;
The House That Jack Built;;;18;;22.09.2021; 7,00 ; 7,50 ; 7,25 ;;
Annabelle Comes Home;;;16;;27.09.2021; 6,00 ; 2,50 ; 4,25 ;;
Friend Request;;2016;16;;05.10.2021; 2,50 ; 1,50 ; 2,00 ;;
